Gene,n_residues,n_P/LP_residues,Ours_AUC,AM_AUC,Δ_AUC,CI_low,CI_high,SIG_WIN
OTOG,61,5,1.0,0.3928571428571429,0.606060606060606,0.2878628482368984,0.9651240169388988,True
SLC4A11,47,9,0.912280701754386,0.3333333333333333,0.5842895527106053,0.3712121212121212,0.7607440476190475,True
LOXHD1,149,110,0.9634032634032632,0.4902097902097902,0.47220367897938,0.3726996662745415,0.5736765357174765,True
USH1C,99,9,0.9320987654320988,0.5469135802469136,0.3831460674157304,0.1560352552218514,0.6290344735909252,True
ADGRV1,279,15,0.8699494949494949,0.4967171717171717,0.3689838670101828,0.1558857292397416,0.6248604982638098,True
CDH23,293,142,0.9410969126014364,0.6027889189441282,0.3390741075614493,0.2731983313335216,0.4066315177914578,True
ALMS1,99,18,0.9876543209876544,0.6831275720164609,0.3039578111946533,0.1870190728703386,0.4317486506797842,True
WFS1,204,102,0.8744713571703192,0.6377354863514034,0.2363757662651116,0.142011962255516,0.3256409324676401,True
COL11A2,63,6,0.8391812865497076,0.6345029239766082,0.2117346938775509,-0.1222222222222221,0.5456278890600923,False
OTOF,190,106,0.9495732255166218,0.752470799640611,0.1953102967483952,0.1227426240718568,0.273557758523049,True
USH2A,418,152,0.8902354570637119,0.6983082706766919,0.1916334260281372,0.1363214720509281,0.2489425682076545,True
PCDH15,70,14,0.9107142857142856,0.7385204081632654,0.1721212121212121,-0.0599036733568201,0.3866994535519124,False
CHD7,176,25,0.9237086092715232,0.7605298013245033,0.1649513381389101,0.0544158062295646,0.2820116209176516,True
TECTA,99,42,0.8717627401837929,0.7376775271512114,0.1363062925300099,0.0270012748373482,0.2451988946725789,True
MYO15A,102,21,0.8018812463256908,0.6690182245737801,0.1305696190498559,-0.0390988186462323,0.2954755892255892,False
OPA1,52,12,0.7895833333333333,0.6833333333333333,0.103359173126615,-0.0471073449961409,0.29324459798144,False
HSD17B4,62,19,0.7858017135862913,0.6964504283965728,0.0865738148562896,-0.0745888157894735,0.2497364864864863,False
MYO7A,150,56,0.7501899696048632,0.6810410334346505,0.0696228825887559,-0.046949891067538,0.1835572882977545,False
KCNQ4,695,22,0.8054842631365663,0.755166824260435,0.049575802774319,-0.0331591745603356,0.133439644167928,False
KCNQ1,217,102,0.7821824381926683,0.7695652173913043,0.012193042646539,-0.0609790965001074,0.0879242758719445,False
COL2A1,97,44,0.91295025728988,0.9013722126929674,0.0119352088661552,-0.0672567448031845,0.0844167628786629,False
COL4A5,131,76,0.8827751196172249,0.8933014354066986,-0.010411774178773,-0.088759816046279,0.0677058817190395,False
MYH9,71,14,0.8145363408521304,0.8408521303258145,-0.0250544662309368,-0.122004646243997,0.0693281466627052,False
GJB2,87,49,0.6981740064446832,0.7266380236305048,-0.0291605874602307,-0.1302737798842128,0.0713644516665916,False
COL11A1,66,6,0.9583333333333334,0.997222222222222,-0.036319612590799,-0.0952380952380952,0.0,False
SLC26A4,116,61,0.6742175856929955,0.780327868852459,-0.1067123004867882,-0.2152904024670718,0.0057353104560951,False
