name,n_feat,val_time_AUC,val_gene_AUC,val_db_AUC,drop_time,drop_gene,drop_db
FULL,101,0.9910111623726648,0.9294847096041532,0.7684884084541495,,,
no_cell_type,65,0.989611067075856,0.9166784961064244,0.7680508726758277,0.0014000952968088,0.0128062134977288,0.0004375357783217
no_hpo,89,0.9909693853355824,0.9261437378325764,0.7746933466821675,4.177703708219127e-05,0.0033409717715768,-0.006204938228018
no_cgd,92,0.9907638874775024,0.927254015249838,0.771271867332091,0.0002472748951621,0.0022306943543153,-0.0027834588779415
no_impc,91,0.991563296727616,0.9311323815704088,0.7674544622344839,-0.0005521343549511,-0.0016476719662557,0.0010339462196655
no_gnomad_constraint,89,0.9897838207697364,0.9222501622323168,0.7817336378010739,0.0012273416029284,0.0072345473718364,-0.0132452293469244
no_conservation,97,0.9858500046293474,0.90476709523037,0.7475390188606922,0.0051611577433173,0.0247176143737832,0.0209493895934572
no_structural,96,0.9888726297177002,0.906075093283582,0.6462501166341772,0.0021385326549645,0.0234096163205711,0.1222382918199722
no_population_af,93,0.909176156828739,0.867126662881246,0.7756768565008738,0.0818350055439257,0.0623580467229072,-0.0071884480467243
no_complex_api,98,0.9906859789488898,0.9325062865022712,0.7699529554470053,0.0003251834237749,-0.0030215768981181,-0.0014645469928558
only_cell_type,36,0.7320985396102767,0.6057653309539259,0.7217042333793144,,,
only_hpo,12,0.7507807789497931,0.4202628163530175,0.7360997278956168,,,
only_cgd,9,0.6928168336619042,0.42436425210902,0.6821970852803886,,,
only_impc,10,0.6882941871204783,0.5726167058728098,0.6811398122252792,,,
only_gnomad_constraint,12,0.7349484110047491,0.6021607316677482,0.7080551975972098,,,
only_conservation,4,0.7395551761748945,0.6342751257300454,0.6386052191587713,,,
only_structural,5,0.7710279635162265,0.7387730167099286,0.6857872113461728,,,
only_population_af,8,0.956115480763368,0.8484699464633355,0.5,,,
only_complex_api,3,0.7374911647212116,0.45892480532122,0.6957799232862342,,,
